,product_name,brand_name,rating,rating_count,marked_price,discounted_price,sizes,product_link,img_link,product_tag,brand_tag,discount_amount,discount_percent,tags,seller_address,meta_description,meta_keyword
10,Floral Maxi Dress,Nayo,4.0,7,1999,799,"S,M,L,XL,XXL",dresses/nayo/nayo-pink--white-floral-ethnic-maxi-dress/17634118/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17634118/2022/3/24/efe28a99-e789-4864-bebc-d108c2c497ff1648132816795NayoPinkFloralEthnicMaxiDress1.jpg",dresses,nayo,1200,60,"clothing,women-clothing,dresses,nayo-dresses",Rajasthan - 302020,Buy Nayo Pink & White Floral Ethnic Maxi Dress - Dresses for Women from Nayo at Rs. 759. Style ID: 17634118,"Nayo Pink & White Floral Ethnic Maxi Dress,  Nayo, Dresses, Dress, Apparel, Apparel for Women, Buy Nayo Pink & White Floral Ethnic Maxi Dress Online in India, Buy Dresses at best price"
11,Women Ribbed Fitted Top,DressBerry,4.2,252,999,399,"XS,S,M,L,XL",tops/dressberry/dressberry-women-mustard-yellow-ribbed-fitted-top/11003624/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11003624/2020/2/20/89b90096-4d3e-4fc9-9dda-c9c04247b0661582203090443-DressBerry-Women-Mustard-Yellow-Ribbed-Fitted-Top-9441582203-1.jpg",tops,dressberry,600,60,"clothing,women-clothing,tops,dressberry-tops",Delhi - 110064,Buy DressBerry Women Mustard Yellow Ribbed Fitted Top - Tops for Women from DressBerry at Rs. 399. Style ID: 11003624,"DressBerry Women Mustard Yellow Ribbed Fitted Top,  DressBerry, Tops, Topwear, Apparel, Apparel for Women, Buy DressBerry Women Mustard Yellow Ribbed Fitted Top Online in India, Buy Tops at best price"
12,Men Gold-Toned Brooch,Alvaro Castagnino,4.9,10,999,399,Onesize,brooch/alvaro-castagnino/alvaro-castagnino-men-blue--gold-toned-brooch/17426638/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17426638/2022/3/8/644fc798-5d36-457d-9a93-c7cefb1867961646717127579AlvaroCastagninoMenBlueGold-TonedBrooch1.jpg",brooch,alvaro-castagnino,600,60,"accessories,men-accessories,brooch,alvaro-castagnino-brooch",Haryana - 131001,Buy Alvaro Castagnino Men Blue & Gold Toned Brooch - Brooch for Men from Alvaro Castagnino at Rs. 399. Style ID: 17426638,"Alvaro Castagnino Men Blue & Gold Toned Brooch,  Alvaro Castagnino, Brooch, Jewellery, Accessories, Accessories for Men, Buy Alvaro Castagnino Men Blue & Gold Toned Brooch Online in India, Buy Brooch at best price"
13,Printed Lounge T-shirt,ETC,4.3,52,499,324,"S,M,L,XL",lounge-tshirts/etc/etc-women-grey-melange-printed-lounge-t-shirt/12442110/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12442110/2021/3/12/2955ac79-bfb8-4f7c-9db7-60ea25894bb21615528076697-ETC-Women-Lounge-Tshirts-7801615528076464-1.jpg",lounge-tshirts,etc,175,35,"clothing,women-clothing,lounge-tshirts,etc-lounge-tshirts",MAHARASHTRA - 400708,Buy ETC Women Grey Melange Printed Lounge T Shirt - Lounge Tshirts for Women from ETC at Rs. 309. Style ID: 12442110,"ETC Women Grey Melange Printed Lounge T Shirt,  ETC, Lounge Tshirts, Loungewear And Nightwear, Apparel, Apparel for Women, Buy ETC Women Grey Melange Printed Lounge T Shirt Online in India, Buy Lounge Tshirts at best price"
14,Men Solid Sliders,Power,3.9,34,746,671,"UK6,UK7,UK8,UK9,UK10,UK11",flip-flops/power/power-men-black-solid-sliders/12453854/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/9/13/2745d68e-7e92-479d-9bad-73ab9563d1441599947775253-1.jpg",flip-flops,power,75,10,"footwear,men-footwear,flip-flops,power-flip-flops",Not Mentioned,Buy Power Men Black Solid Sliders - Flip Flops for Men from Power at Rs. 629. Style ID: 12453854,"Power Men Black Solid Sliders, Power, Flip Flops, Flip Flops, Footwear, Footwear for Men, Buy Power Men Black Solid Sliders Online in India, Buy Flip Flops at best price"
15,Women Skinny Fit Jeans,abof,0.0,0,1299,909,"28,30,32,34",jeans/abof/abof-women-blue-skinny-fit-light-fade-stretchable-jeans/14511032/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14511032/2022/5/16/05cddf23-04c2-4ff6-b3a7-d9c41306cd5b1652688796617-abof-Women-Jeans-7851652688795977-1.jpg",jeans,abof,390,30,"clothing,women-clothing,jeans,abof-jeans",Delhi - 110020,Buy Abof Women Blue Skinny Fit Light Fade Stretchable Jeans - Jeans for Women from Abof at Rs. 649. Style ID: 14511032,"Abof Women Blue Skinny Fit Light Fade Stretchable Jeans,  Abof, Jeans, Bottomwear, Apparel, Apparel for Women, Buy Abof Women Blue Skinny Fit Light Fade Stretchable Jeans Online in India, Buy Jeans at best price"
16,Women Skinny Fit Jeans,Mast & Harbour,4.0,105,1799,809,"26,28,30,32,34,36",jeans/mast--harbour/mast--harbour-women-blue-skinny-fit-mid-rise-clean-look-stretchable-jeans/12310178/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12310178/2020/10/13/8c6d6a8d-d4e7-44d7-a5f3-72724c3b25861602591705085-Mast--Harbour-Women-Jeans-4781602591702516-1.jpg",jeans,mast--harbour,990,55,"clothing,women-clothing,jeans,mast-and-harbour-jeans",Not Mentioned,Buy Mast & Harbour Women Blue Skinny Fit Mid Rise Clean Look Stretchable Jeans - Jeans for Women from Mast & Harbour at Rs. 629. Style ID: 12310178,"Mast & Harbour Women Blue Skinny Fit Mid Rise Clean Look Stretchable Jeans,  Mast & Harbour, Jeans, Bottomwear, Apparel, Apparel for Women, Buy Mast & Harbour Women Blue Skinny Fit Mid Rise Clean Look Stretchable Jeans Online in India, Buy Jeans at best price"
17,Print Ruffles Top,BoStreet,0.0,0,1699,1546,"S,M,L,XL",tops/bostreet/bostreet-blue-print-ruffles-top/18139080/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18139080/2022/5/4/2022960e-b94d-44b2-ae51-8aefa17175a41651664050263BoStreetBluePrintRufflesTop1.jpg",tops,bostreet,153,9,"clothing,women-clothing,tops,bostreet-tops",Maharashtra - 421302,Buy BoStreet Blue Print Ruffles Top - Tops for Women from BoStreet at Rs. 1461. Style ID: 18139080,"BoStreet Blue Print Ruffles Top,  BoStreet, Tops, Topwear, Apparel, Apparel for Women, Buy BoStreet Blue Print Ruffles Top Online in India, Buy Tops at best price"
18,Men Running Shoes,Action,0.0,0,2099,1112,"UK6,UK7,UK8,UK9,UK10",sports-shoes/action/action-men-navy-blue--red-athleo-mesh-running-non-marking-shoes/15305954/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15305954/2021/8/30/c96001e6-9a7b-469d-ba30-8847653183961630335721746ActionAthleoATG-503MensNavy-RedMeshRunningGymWalkingSportsSh1.jpg",sports-shoes,action,987,47,"footwear,men-footwear,sports-shoes,action-sports-shoes",Delhi - 110041,Buy Action Men Navy Blue & Red Athleo Mesh Running Non Marking Shoes - Sports Shoes for Men from Action at Rs. 1112. Style ID: 15305954,"Action Men Navy Blue & Red Athleo Mesh Running Non Marking Shoes,  Action, Sports Shoes, Shoes, Footwear, Footwear for Men, Buy Action Men Navy Blue & Red Athleo Mesh Running Non Marking Shoes Online in India, Buy Sports Shoes at best price"
19,Ethnic Motifs Pure Silk Saree,Anouk,0.0,0,6699,1674,Onesize,sarees/anouk/anouk-red--golden-ethnic-motifs-embroidered-beads-and-stones-pure-silk-saree/15096572/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15096572/2021/9/13/a69d234f-2f36-494e-bacd-3397dd8146c41631520825248-Anouk-Women-Sarees-7161631520824654-1.jpg",sarees,anouk,5025,75,"clothing,women-clothing,sarees,anouk-sarees",Gujarat - 394230,Buy Anouk Red & Golden Ethnic Motifs Embroidered Beads And Stones Pure Silk Saree - Sarees for Women from Anouk at Rs. 2009. Style ID: 15096572,"Anouk Red & Golden Ethnic Motifs Embroidered Beads And Stones Pure Silk Saree,  Anouk, Sarees, Saree, Apparel, Apparel for Women, Buy Anouk Red & Golden Ethnic Motifs Embroidered Beads And Stones Pure Silk Saree Online in India, Buy Sarees at best price"
20,Unisex Round Sunglasses,WROGN,4.1,338,2899,1884,M,sunglasses/wrogn/wrogn-unisex-round-sunglasses/2385219/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2385219/2018/6/4/31f80cb7-9486-46f9-af81-f0a03340b26e1528117149252-WROGN-Unisex-Round-Sunglasses-8041528117149154-1.jpg",sunglasses,wrogn,1015,35,"accessories,unisex-accessories,sunglasses,wrogn-sunglasses",Delhi - 110001,Buy WROGN Unisex Round Sunglasses - Sunglasses for Unisex from WROGN at Rs. 1884. Style ID: 2385219,"WROGN Unisex Round Sunglasses,  WROGN, Sunglasses, Eyewear, Accessories, Accessories for Unisex, Buy WROGN Unisex Round Sunglasses Online in India, Buy Sunglasses at best price"
21,Women Tummy & Thigh Shapewear,Dermawear,2.0,5,1349,1349,"S,M,L,XL,XXL,3XL",shapewear/dermawear/dermawear-women-beige-solid-tummy--thigh-shapewear/17667772/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17667772/2022/3/29/0e46653e-fae8-4518-9078-42258516f8591648556603041DermawearWomenBeigeSolidTummyThighShapewear1.jpg",shapewear,dermawear,0,0,"clothing,women-clothing,shapewear,dermawear-shapewear",Maharashtra - 401208,Buy Dermawear Women Beige Solid Tummy & Thigh Shapewear - Shapewear for Women from Dermawear at Rs. 1349. Style ID: 17667772,"Dermawear Women Beige Solid Tummy & Thigh Shapewear,  Dermawear, Shapewear, Innerwear, Apparel, Apparel for Women, Buy Dermawear Women Beige Solid Tummy & Thigh Shapewear Online in India, Buy Shapewear at best price"
22,Women Night suit,Sweet Dreams,0.0,0,1799,1169,"S,M,L,XL,XXL",night-suits/sweet-dreams/sweet-dreams-women-rose-printed-night-suit/17802896/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17802896/2022/4/7/6c56d075-ee68-46cb-bbac-d7faf82f5f741649340054876SweetDreamsWomensPolyesterPrintedT-shirtPyjamaSetOCW-2316_Du1.jpg",night-suits,sweet-dreams,630,35,"clothing,women-clothing,night-suits,sweet-dreams-night-suits",Gujarat - 382405,Buy Sweet Dreams Women Rose Printed Night Suit - Night Suits for Women from Sweet Dreams at Rs. 1169. Style ID: 17802896,"Sweet Dreams Women Rose Printed Night Suit,  Sweet Dreams, Night Suits, Loungewear And Nightwear, Apparel, Apparel for Women, Buy Sweet Dreams Women Rose Printed Night Suit Online in India, Buy Night Suits at best price"
23,Women Cotton Printed Tracksuit,Duke,4.4,14,2995,1797,"S,M,L,XL,XXL",tracksuits/duke/duke-women-blue--black-cotton-printed-tracksuit/15152634/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15152634/2021/10/21/a5dbea94-1eb9-472d-8913-fc9cfa04d9021634798112189TracksuitsDukeWomen1.jpg",tracksuits,duke,1198,40,"clothing,women-clothing,tracksuits,duke-tracksuits",Haryana - 122503,Buy Duke Women Blue & Black Cotton Printed Tracksuit - Tracksuits for Women from Duke at Rs. 1497. Style ID: 15152634,"Duke Women Blue & Black Cotton Printed Tracksuit,  Duke, Tracksuits, Bottomwear, Apparel, Apparel for Women, Buy Duke Women Blue & Black Cotton Printed Tracksuit Online in India, Buy Tracksuits at best price"
24,Women Pack of 2 Hipster Briefs,Clovia,0.0,0,998,409,"S,M,L,XL",briefs/clovia/clovia-women-pack-of-2-solid-hipster-briefs-compnc722xl/10484738/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/8/20/82dbf011-412c-4bd8-a5b4-89aedf1f71f81566246409153-1.jpg",briefs,clovia,589,59,"clothing,women-clothing,briefs,clovia-briefs",Haryana - 122017,Buy Clovia Women Pack Of 2 Solid Hipster Briefs COMPNC722XL - Briefs for Women from Clovia at Rs. 349. Style ID: 10484738,"Clovia Women Pack Of 2 Solid Hipster Briefs COMPNC722XL,  Clovia, Briefs, Innerwear, Apparel, Apparel for Women, Buy Clovia Women Pack Of 2 Solid Hipster Briefs COMPNC722XL Online in India, Buy Briefs at best price"
25,Casual Shirt,SPYKAR,0.0,0,2499,1724,"38,40,42,44,46",shirts/spykar/spykar-men-green-striped-casual-shirt/16457530/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16457530/2021/12/11/d4d3ad81-0e35-496c-8709-289a6f3080611639210334227SPYKARMenGreenCasualShirt1.jpg",shirts,spykar,775,31,"clothing,men-clothing,shirts,spykar-shirts",Maharashtra - 400063,Buy SPYKAR Men Green Striped Casual Shirt - Shirts for Men from SPYKAR at Rs. 1724. Style ID: 16457530,"SPYKAR Men Green Striped Casual Shirt,  SPYKAR, Shirts, Topwear, Apparel, Apparel for Men, Buy SPYKAR Men Green Striped Casual Shirt Online in India, Buy Shirts at best price"
26,Women Printed Lounge Pants,Ginger by Lifestyle,0.0,0,699,699,"XS,S,M,L,XL",lounge-pants/ginger-by-lifestyle/ginger-by-lifestyle-women-purple-printed-cotton-lounge-pants/18491338/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18491338/2022/5/30/787a7737-4497-498c-ae54-ae6b93ca45771653899611636GingerbyLifestylePurpleSolidCottonPyjamas1.jpg",lounge-pants,ginger-by-lifestyle,0,0,"clothing,women-clothing,lounge-pants,ginger-by-lifestyle-lounge-pants",Karnataka - 560067,Buy Ginger By Lifestyle Women Purple Printed Cotton Lounge Pants - Lounge Pants for Women from Ginger By Lifestyle at Rs. 699. Style ID: 18491338,"Ginger By Lifestyle Women Purple Printed Cotton Lounge Pants,  Ginger By Lifestyle, Lounge Pants, Loungewear And Nightwear, Apparel, Apparel for Women, Buy Ginger By Lifestyle Women Purple Printed Cotton Lounge Pants Online in India, Buy Lounge Pants at best price"
27,Set Of 9 Wall Photo Frames,Art Street,0.0,0,3500,1050,Onesize,photo-frames/art-street/art-street-set-of-9-white-wall-photo-frames/16651396/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16651396/2021/12/30/0fb80c51-e048-4445-b72f-321736bbf5401640879293273ArtStreetSetof9WhiteWallPhotoFrames1.jpg",photo-frames,art-street,2450,70,"home-furnishing,unisex-home-furnishing,photo-frames,art-street-photo-frames",Uttar pradesh - 201308,Buy Art Street Set Of 9 White Wall Photo Frames - Photo Frames for Unisex from Art Street at Rs. 1050. Style ID: 16651396,"Art Street Set Of 9 White Wall Photo Frames,  Art Street, Photo Frames, Home Decor, Home, Home for Unisex, Buy Art Street Set Of 9 White Wall Photo Frames Online in India, Buy Photo Frames at best price"
28,Other Prints Blue Blocks Handwoven Cotton Double Size Bedcover with 2 Pillow Cover,Arrabi,0.0,0,5149,1647,Double King,bed-covers/arrabi/arrabi-blue--black-handwoven-cotton-double-size-bedcover-with-2-pillow-cover/15219226/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15219226/2021/8/21/417464fa-8cbc-4a38-870d-0c76ce107e3e1629556263202ArrabiBlueBlocksHandwovenCottonDoubleSizeBedcoverwith2Pillow1.jpg",bed-covers,arrabi,3502,68,"home-furnishing,unisex-home-furnishing,bed-covers,arrabi-bed-covers",Not Mentioned,Buy Arrabi Blue & Black Handwoven Cotton Double Size Bedcover With 2 Pillow Cover - Bed Covers for Unisex from Arrabi at Rs. 5149. Style ID: 15219226,"Arrabi Blue & Black Handwoven Cotton Double Size Bedcover With 2 Pillow Cover,  Arrabi, Bed Covers, Bedding, Home, Home for Unisex, Buy Arrabi Blue & Black Handwoven Cotton Double Size Bedcover With 2 Pillow Cover Online in India, Buy Bed Covers at best price"
29,Pack of 2 Minimizer Bras,Floret,4.3,239,898,853,"30C,32C,34C,36C,38C,40C",bra/floret/floret-pack-of-2-solid-non-wired-non-padded-minimizer-bras-t3033/11169978/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/12/14/3c0aa4cf-9161-483d-a7ba-3862ebd3b6391576280677937-1.jpg",bra,floret,45,5,"clothing,women-clothing,bra,floret-bra",Delhi - 110036,Buy Floret Pack Of 2 Solid Non Wired Non Padded Minimizer Bras T3033 - Bra for Women from Floret at Rs. 853. Style ID: 11169978,"Floret Pack Of 2 Solid Non Wired Non Padded Minimizer Bras T3033,  Floret, Bra, Innerwear, Apparel, Apparel for Women, Buy Floret Pack Of 2 Solid Non Wired Non Padded Minimizer Bras T3033 Online in India, Buy Bra at best price"
30,Printed Pure Cotton T-shirt,Red Tape,3.6,11,1599,559,"S,M,L,XL,XXL",tshirts/red-tape/red-tape-men-off-white-printed-pure-cotton-t-shirt/16916292/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16916292/2022/1/24/e578c962-2a76-4772-910e-1bfb2df91e0c1643017585184Tshirts1.jpg",tshirts,red-tape,1040,65,"clothing,men-clothing,tshirts,red-tape-tshirts",Uttar Pradesh - 208001,Buy Red Tape Men Off White Printed Pure Cotton T Shirt - Tshirts for Men from Red Tape at Rs. 479. Style ID: 16916292,"Red Tape Men Off White Printed Pure Cotton T Shirt,  Red Tape, Tshirts, Topwear, Apparel, Apparel for Men, Buy Red Tape Men Off White Printed Pure Cotton T Shirt Online in India, Buy Tshirts at best price"
31,Lightly Padded T-shirt Bra,Zivame,0.0,0,1395,558,"32B,32C,32D,34B,34C,34D,36B,36C,36D,38B,38C,38D",bra/zivame/zivame-red-floral-lace-t-shirt-bra---underwired-lightly-padded/17089344/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17089344/2022/2/8/afd4a456-cf97-4a2c-b113-63a52e0853301644322477023ZivameWomenRedPrinted1.jpg",bra,zivame,837,60,"clothing,women-clothing,bra,zivame-bra",Karnataka - 560075,Buy Zivame Red Floral Lace T Shirt Bra   Underwired Lightly Padded - Bra for Women from Zivame at Rs. 558. Style ID: 17089344,"Zivame Red Floral Lace T Shirt Bra   Underwired Lightly Padded,  Zivame, Bra, Innerwear, Apparel, Apparel for Women, Buy Zivame Red Floral Lace T Shirt Bra   Underwired Lightly Padded Online in India, Buy Bra at best price"
